generic_name,dosage_form,strength,therapeutic_category,who_list_section,notes,unit,reorder_level
amikacin,Tablet,500 mg (as trihydrate) + 125 mg (as potassium salt),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
amikacin,Tablet,875 mg (as trihydrate),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
amikacin,Tablet,200 mg (as trihydrate) + 28.5 mg (as potassium salt),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
infections (mild to moderate),Powder for injection,500 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
infections (mild to moderate),Powder for injection,1 g (as sodium) in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
ampicillin,Powder for injection,1.2 million IU (≈ 900 mg) in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,25
ampicillin,Powder for injection,2.4 million IU (≈ 1.8 g) in,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,25
benzathine benzylpenicillin,Powder for injection,600 mg (= 1 million IU),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,25
benzathine benzylpenicillin,Powder for injection,3 g (= 5 million IU) (sodium or,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,25
benzathine benzylpenicillin,Powder for oral liquid,125 mg/5 mL,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,25
benzathine benzylpenicillin,Powder for oral liquid,250 mg/5 mL (anhydrous),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,25
benzathine benzylpenicillin,Solid,250 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,25
benzathine benzylpenicillin,Solid,500 mg (as monohydrate),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,25
benzathine benzylpenicillin,Tablet,125 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,25
benzathine benzylpenicillin,Tablet,250 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,25
cefalexin,Powder for injection,1 g (as sodium salt) in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,25
cefazolin a,Oily suspension for injection,0.5 g/mL (as sodium succinate) in 2 mL ampoule,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,25
cefazolin a,chloramphenicol,1 g (as sodium succinate) in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,25
cefazolin a,Capsule,150 mg (as hydrochloride),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,25
cefazolin a,Injection,150 mg/mL (as phosphate),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,25
cefazolin a,Injection,600 mg/4 mL (as phosphate),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,25
cefazolin a,Injection,900 mg/6 mL,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,25
clindamycin,Powder for oral liquid,75 mg/5 mL (as palmitate hydrochloride),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,20
clindamycin,Capsule,"250 mg , 500 mg",WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
clindamycin,Capsule,1 g (as sodium),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
clindamycin,Powder for injection,"250 mg , 500 mg (as sodium) in vial",WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
clindamycin,Powder for oral liquid,"125 mg/5 mL, 250 mg/5 mL (as sodium)",WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,20
penicillins),Oral liquid,50 mg/5 mL (calcium),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,25
penicillins),Powder for oral liquid,25 mg/5 mL (monohydrate),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,25
penicillins),Powder for injection,100 mg in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,25
penicillins),Solid,50 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,25
penicillins),Solid,100 mg (as hyclate),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,25
penicillins),Tablet,100 mg (as monohydrate),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,25
doxycycline a,Injection,10 mg/mL (as sulfate),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
doxycycline a,Injection,40 mg/mL (as sulfate) in 2 mL vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
gentamicin,Injection,500 mg in 100 mL vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
gentamicin,Oral liquid,200 mg/5 mL (as benzoate),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,20
gentamicin,Suppository,500 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
gentamicin,Suppository,1 g,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
gentamicin,Tablet,200 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
gentamicin,Tablet,250 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
gentamicin,Tablet,400 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
gentamicin,Tablet,500 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
infections (severe),Oral liquid,25 mg/5 mL,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,20
infections (severe),Solid,50 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
infections (severe),Solid,100 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
nitrofurantoin,Powder for oral liquid,250 mg/5 mL (as potassium),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,20
nitrofurantoin,Solid,250 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
nitrofurantoin,Solid,500 mg (as potassium),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
phenoxymethylpenicillin,Powder for injection,1 g (=1 million IU),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,25
phenoxymethylpenicillin,Powder for injection,3 g (=3 million IU) in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,25
phenoxymethylpenicillin,Powder for injection,2 g (as hydrochloride) in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,25
phenoxymethylpenicillin,Injection,80 mg + 16 mg/mL in 5 mL ampoule,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,25
phenoxymethylpenicillin,Injection,80 mg + 16 mg/mL in 10 mL,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,25
phenoxymethylpenicillin,Oral liquid,200 mg + 40 mg/5 mL,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,25
phenoxymethylpenicillin,Tablet,100 mg + 20 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,25
phenoxymethylpenicillin,Tablet,400 mg + 80 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,25
phenoxymethylpenicillin,Tablet,800 mg + 160 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,25
sulfamethoxazole +,trimethoprim,100 mg + 20 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,25
dysentery,Tablet,100 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
dysentery,Tablet,200 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
dysentery,Oral liquid,50 mg/5 mL,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,20
trimethoprim,Solid,250 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
trimethoprim,Solid,500 mg (anhydrous),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
trimethoprim,Powder for oral liquid,200 mg/5 mL (anhydrous),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,20
azithromycin,Powder for oral liquid,100 mg/5 mL,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,20
azithromycin,Solid,200 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
azithromycin,Solid,400 mg (as trihydrate),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
dysentery,Powder for injection,250 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
dysentery,Powder for injection,500 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
dysentery,Powder for injection,1 g,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
dysentery,Powder for injection,2 g (as sodium) in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
infections (severe),Powder for injection,250 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
infections (severe),Powder for injection,500 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
infections (severe),Powder for injection,1 g,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
infections (severe),Powder for injection,2 g (as sodium) in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
infections (severe),Powder for injection,750 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
infections (severe),Powder for injection,1.5 g (as sodium) in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
infections (severe),Oral liquid,250 mg/5 mL (anhydrous),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,20
infections (severe),Solution,2 mg/mL (as hyclate),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
infections (severe),Solid,250 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
infections (severe),Solid,500 mg (as hydrochloride),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
moderate),Powder for oral liquid,125 mg/5 mL,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,20
moderate),Powder for oral liquid,250 mg/5 mL,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,20
moderate),Powder for injection,500 mg in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
moderate),Solid,250 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
moderate),Solid,500 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
moderate),Powder for injection,2 g (as sodium) + 250 mg (as sodium),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
moderate),Powder for injection,4 g (as sodium) +,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
infections (severe),Capsule,125 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
infections (severe),Capsule,250 mg (as hydrochloride),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
infections (severe),Powder for injection,1 g (as pentahydrate) in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
the preferred choice for acute,Powder for injection,250 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
the preferred choice for acute,Powder for injection,500 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
the preferred choice for acute,Powder for injection,1 g (as hydrochloride) in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
the preferred choice for acute,cefiderocol,1 g (as sulfate toxylate) in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
the preferred choice for acute,ceftazidime,2 g + 0.5 g in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
the preferred choice for acute,ceftolozane,1 g + 0.5 g in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
the preferred choice for acute,Powder for injection,1 million IU (as colistemethate sodium) (equivalent,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
colistin,fosfomycin,2 g,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
colistin,fosfomycin,4 g (as sodium) in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
colistin,Injection,2 mg/mL in 300 mL bag,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
o linezolid,Powder for oral liquid,100 mg/5 mL,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,20
o linezolid,Tablet,600 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
o linezolid,Tablet,150 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
o linezolid,meropenem,1 g (as trihydrate) + 1 g in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
o linezolid,Injection,500 mg/10 mL,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
o linezolid,Powder for injection,500 000 IU (equivalent to 50 mg polymyxin B,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
o linezolid,clofazimine,50 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
o linezolid,clofazimine,100 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
o linezolid,Tablet,25 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
o linezolid,Tablet,50 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
o linezolid,Tablet,100 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
o linezolid,Oral liquid,20 mg/mL,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,20
rifampicin,Solid,150 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
rifampicin,Solid,300 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
rifampicin,Tablet,100 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
rifampicin,Tablet,400 mg (hydrochloride),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
ethambutol,Tablet,100 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
ethambutol + isoniazid + pyrazinamide +,Tablet,275 mg + 75 mg + 400 mg + 150 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
rifampicin,Tablet,275 mg + 75 mg + 150 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
rifampicin,Tablet,250 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
ethionamide,Tablet,125 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
ethionamide,Tablet,100 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
ethionamide,Tablet,300 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
isoniazid,Tablet,100 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
isoniazid,isoniazid,50 mg + 150 mg + 75 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
isoniazid,Tablet,75 mg + 150 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
isoniazid,Tablet,150 mg + 300 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
isoniazid + rifampicin,Tablet,50 mg + 75 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
isoniazid + rifampicin,isoniazid,300 mg + 300 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
isoniazid + rifampicin,Tablet,400 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
isoniazid + rifampicin,Tablet,500 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
pyrazinamide,Tablet,150 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
pyrazinamide,Solid,150 mg.*,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
rifabutin,Oral liquid,20 mg/mL,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,20
rifampicin,Tablet,150 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
rifampicin,Tablet,300 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
rifampicin,Injection,250 mg/mL (as sulfate) in 2 mL vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
rifampicin,Powder for oral liquid,250 mg (as trihydrate) + 62.5 mg (as potassium,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,20
rifampicin,Tablet,500 mg (as trihydrate) + 125 mg (as potassium salt),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
rifampicin,Tablet,20 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
rifampicin,clofazimine,50 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
rifampicin,clofazimine,100 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
rifampicin,Therapeutic,Solid oral dosage form: 125 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
rifampicin,Therapeutic,250 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
rifampicin,Tablet,25 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
delamanid,Tablet,50 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
delamanid,Tablet,250 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
delamanid,Tablet,125 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
delamanid,Tablet,250mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
delamanid,Tablet,500 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
delamanid,Tablet,750 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
levofloxacin,Tablet,100 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,25
levofloxacin,Tablet,600 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,25
linezolid,Tablet,150 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
linezolid,Therapeutic,Powder for injection: 500 mg (as trihydrate),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
linezolid,Therapeutic,1 g (as trihydrate) in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
linezolid,Tablet,400 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
moxifloxacin,Tablet,100 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,25
moxifloxacin,Powder,5.52 g in sachet (equivalent to 4 g,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,packet,25
p-aminosalicylate sodium,Tablet,200 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
p-aminosalicylate sodium,streptomycin,1 g (as sulfate) in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
p-aminosalicylate sodium,Powder for injection,50 mg (liposomal complex) in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
p-aminosalicylate sodium,Powder for injection,50 mg (as sodium deoxycholate) in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
p-aminosalicylate sodium,Vaginal cream,1%,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,tube,20
p-aminosalicylate sodium,Vaginal cream,10%,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,tube,20
clotrimazole,Vaginal tablet,100 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,25
clotrimazole,Vaginal tablet,500 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,25
clotrimazole,Capsule,50 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,25
clotrimazole,Injection,2 mg/mL in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,25
fluconazole,Oral liquid,50 mg/5 mL,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,25
fluconazole,Powder for oral liquid,50 mg/5 mL,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,25
fluconazole,Capsule,250 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,25
flucytosine,Infusion,2.5 g in 250 mL,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
flucytosine,Oral liquid,125 mg/5 mL,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,20
griseofulvin,Solid,125 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
griseofulvin,Solid,250 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
griseofulvin,Capsule,100 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
griseofulvin,Oral liquid,10 mg/mL,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,20
griseofulvin,Lozenge,100 000 IU,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
griseofulvin,Oral liquid,100 000 IU/mL,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,20
nystatin,Pessary,100 000 IU,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
nystatin,Solid,500 000 IU,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
nystatin,Tablet,50 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
nystatin,Tablet,200 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
nystatin,Powder for injection,200 mg in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,vial,20
nystatin,Powder for oral liquid,40 mg/mL,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,20
nystatin,Therapeutic,Powder for injection: 50 mg (as sodium),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
nystatin,Therapeutic,100 mg (as sodium) in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
nystatin,Therapeutic,Powder for injection: 250 mg (as sodium salt) in vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
nystatin,Tablet,300 mg (as sulfate),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
nystatin,Oral liquid,50 mg/5 mL,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,20
lamivudine,Tablet,150 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
lamivudine,Tablet,300 mg (tenofovir disoproxil fumarate – equivalent to,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
lamivudine,Capsule,250 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
lamivudine,Oral liquid,50 mg/5 mL,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,20
zidovudine,Solution,10 mg/mL in 20 mL vial,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
zidovudine,Tablet,300 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
zidovudine,Tablet,600 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
zidovudine,Oral liquid,50 mg/5 mL,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,bottle,20
zidovudine,Tablet,50 mg (dispersible),WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
zidovudine,Tablet,200 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
zidovudine,atazanavir,300 mg (as sulfate) + 100 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
zidovudine,Tablet,75 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
zidovudine,Tablet,400 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
zidovudine,Tablet,800 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
darunavira,Solid,40 mg + 10 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
lopinavir + ritonavir,Tablet,100 mg + 25 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
lopinavir + ritonavir,Tablet,200 mg + 50 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
lopinavir + ritonavir,ritonavir,25 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
lopinavir + ritonavir,ritonavir,100 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
lopinavir + ritonavir,Tablet,10 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
dolutegravir a,Tablet,50 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
dolutegravir a,Granules,100 mg in sachet,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,packet,20
dolutegravir a,Tablet,25 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
dolutegravir a,Tablet,400 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
dolutegravir a,abacavir,120 mg (as sulfate) + 60 mg,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,unit,20
dolutegravir a,Tablet,50 mg + 300 mg + 300 mg (tenofovir disoproxil fumarate –,WHO EML 2023,Complementary,6. ANTI-INFECTIVE MEDICINES,strip,20
